2.51	7.893
7.52	7.893
12.53	7.894
17.54	7.894
22.55	7.894
27.56	7.894
32.58	7.894
37.59	7.893
42.60	7.893
47.61	7.893
52.62	7.893
57.63	7.893
62.64	7.675
67.66	7.681
72.67	7.685
77.68	7.688
82.69	7.690
87.70	7.690
92.71	7.691
97.73	7.692
102.74	7.692
107.75	7.692
112.76	7.692
117.77	7.692
122.78	7.692
127.80	7.691
132.81	7.691
137.82	7.691
142.83	7.690
147.84	7.690
152.86	7.689
157.87	7.689
162.88	7.688
167.90	7.688
172.91	7.688
177.92	7.688
182.93	7.687
187.94	7.687
192.95	7.687
197.97	7.686
202.98	7.686
207.99	7.686
213.00	7.685
218.01	7.685
223.02	7.685
228.04	7.684
233.05	7.684
238.06	7.684
243.07	7.684
248.08	7.684
253.09	7.683
258.10	7.683
263.12	7.682
268.13	7.682
273.14	7.682
278.15	7.682
283.16	7.682
288.17	7.681
293.19	7.681
298.20	7.681
303.21	7.680
308.22	7.680
313.23	7.680
318.24	7.679
323.26	7.679
328.27	7.679
333.28	7.679
338.29	7.679
343.30	7.679
348.31	7.678
353.32	7.678
358.34	7.678
363.35	7.677
368.36	7.677
373.37	7.677
378.38	7.677
383.39	7.676
388.41	7.676
393.42	7.676
398.43	7.676
403.44	7.676
408.45	7.675
413.46	7.675
418.48	7.675
423.49	7.675
428.50	7.674
433.51	7.674
438.52	7.674
443.53	7.673
448.54	7.673
453.56	7.673
458.57	7.673
463.58	7.672
468.59	7.672
473.60	7.672
478.61	7.672
483.62	7.671
488.64	7.671
493.65	7.671
498.66	7.671
503.67	7.670
508.68	7.670
513.69	7.670
518.71	7.670
523.72	7.669
528.73	7.669
533.74	7.669
538.76	7.668
543.77	7.669
548.78	7.668
553.79	7.668
558.81	7.668
563.83	7.668
568.84	7.667
573.85	7.667
578.86	7.667
583.87	7.667
588.88	7.666
593.89	7.666
598.91	7.666
603.92	7.666
608.93	7.665
613.94	7.665
618.95	7.665
623.96	7.665
628.97	7.664
633.99	7.664
639.00	7.664
644.01	7.664
649.02	7.664
654.03	7.663
659.04	7.663
664.06	7.663
669.07	7.662
674.08	7.662
679.09	7.662
684.10	7.662
689.11	7.662
694.13	7.661
699.14	7.661
704.15	7.661
709.16	7.661
714.17	7.660
719.18	7.660
724.20	7.660
729.21	7.660
734.22	7.659
739.23	7.659
744.24	7.659
749.25	7.659
754.27	7.659
759.28	7.658
764.30	7.658
769.31	7.658
774.33	7.657
779.34	7.657
784.35	7.657
789.36	7.657
794.37	7.657
799.38	7.657
804.39	7.656
809.41	7.656
814.42	7.656
819.43	7.655
824.44	7.655
829.45	7.655
834.46	7.655
839.48	7.654
844.49	7.654
849.50	7.654
854.51	7.654
859.52	7.654
864.53	7.653
869.54	7.653
874.56	7.653
879.57	7.653
884.58	7.653
889.59	7.652
894.60	7.652
899.61	7.652
904.63	7.652
909.64	7.651
914.65	7.651
919.66	7.651
924.67	7.651
929.68	7.651
934.70	7.651
939.71	7.650
944.72	7.650
949.73	7.650
954.74	7.650
959.75	7.649
964.77	7.649
969.78	7.649
974.79	7.649
979.80	7.648
984.81	7.648
989.82	7.648
994.83	7.648
999.85	7.647
1004.86	7.647
1009.87	7.647
1014.88	7.647
1019.89	7.646
1024.90	7.646
1029.92	7.646
1034.93	7.646
1039.94	7.646
1044.95	7.645
1049.96	7.645
1054.97	7.645
1059.99	7.645
1065.00	7.645
1070.01	7.644
1075.02	7.644
1080.03	7.644
1085.04	7.644
1090.06	7.644
1095.07	7.644
1100.08	7.643
1105.09	7.643
1110.10	7.643
1115.11	7.643
1120.12	7.642
1125.14	7.642
1130.15	7.642
